name,text,race
Flame Leviathan,"When you draw this, deal 2 damage to all characters.",MECHANICAL
Ice Block,"Secret: When your hero takes fatal damage, prevent it and become Immune this turn.",NULL
Mrglmrgl MRGL!,"Hero Power
Draw 2 cards.",NULL
Raid Leader,Your other minions have +1 Attack.,NULL
Excess Mana,Draw a card. (You can only have 10 Mana in your tray.),NULL
Brann Bronzebeard,Your Battlecries trigger twice.,NULL
Twilight Summoner,Deathrattle: Summon a 5/5 Faceless Destroyer.,NULL
Boom Bot,NULL,NULL
Crazed Hunter,NULL,NULL
Druid of the Fang,"Battlecry: If you have a Beast, transform this minion into a 7/7.",NULL
Polarity Shift,"Hero Power
Swap the Attack and Health of all minions.",NULL
Armor Plating,Give a minion +1 Health.,NULL
Darkness Calls,Summon two random Naxxramas bosses and trigger their Battlecries.,NULL
Darkness Calls,Increased stats.,NULL
Kooky Chemist,Battlecry: Swap the Attack and Health of a minion.,NULL
Animated Armor,Your hero can only take 1 damage at a time.,NULL
Grimy Gadgeteer,"At the end of your turn, give a random minion in your hand +2/+2.",NULL
Grimscale Oracle,Your other Murlocs have +1 Attack.,MURLOC
Destroy All Heroes,Destroy all heroes.,NULL
Greenskin's Command,NULL,NULL
Touch It,Restore 10 Health to your hero.,NULL
Eerie Statue,Can’t attack unless it’s the only minion in the battlefield.,NULL
Streetwise Investigator,Battlecry: Enemy minions lose Stealth.,NULL
Orc Warrior,NULL,NULL
Set health to full,"Set a character's health to full, and removes armour.",NULL
Violet Teacher,"Whenever you cast a spell, summon a 1/1 Violet Apprentice.",NULL
Jade Golem,NULL,NULL
Giant Insect,NULL,NULL
Ancient Power,"Hero Power
Add a random card to your hand. It costs (0).",NULL
Black King,NULL,NULL
Melt,Attack changed to 0 this turn.,NULL
Dunemaul Shaman,"Windfury, Overload: (1)
50% chance to attack the wrong enemy.",NULL
Immolate,Deal 7 damage to each hero.,NULL
Chromaggus,NULL,NULL
Hell Bovine,Deathrattle: Place a copy of this card in your deck.,DEMON
Enable for Attack,Give a character Charge and make him able to attack!,NULL
Rafaam,NULL,NULL
Nourish,Draw 3 cards.,NULL
Primal Fusion,Give a minion +1/+1 for each of your Totems.,NULL
Dragonling Mechanic,Battlecry: Summon a 2/1 Mechanical Dragonling.,NULL
Shredder Blade,Deathrattle: Place a Shredder Blade in your hand.,NULL
Smuggling,Increased stats from Brass Knuckles.,NULL
Trogg Hate Spells!,"Passive Hero Power
 Enemy spells cost (11). Swap at the start of your turn.",NULL
Crowd Favorite,"Whenever you play a card with Battlecry, gain +1/+1.",NULL
Light's Justice,NULL,NULL
Baine Bloodhoof,NULL,NULL
Blarghghl,Increased Attack.,NULL
Healing Wave,"Restore #7 Health. Reveal a minion in each deck. If yours costs more, Restore #14 instead.",NULL
Explosive Shot,Deal 5 damage to a minion and 2 damage to adjacent ones.,NULL
Twilight Elemental,NULL,NULL
Tempered,+2 Attack this turn.,NULL
Tail Swipe,Deal 4 damage.,NULL
Rafaam,NULL,NULL
N'Zoth's First Mate,Battlecry: Equip a 1/3 Rusty Hook.,PIRATE
On the Hunt,"Deal 1 damage.
Summon a 1/1 Mastiff.",NULL
Trogg Hate Minions!,"Passive Hero Power
 Enemy minions cost (11). Swap at the start of your turn.",NULL
Cyclopian Horror,Taunt. Battlecry: Gain      +1 Health for each enemy minion.,NULL
Foe Reaper 4000,Also damages the minions next to whomever it attacks.,MECHANICAL
AI Buddy - All Charge!,Spawn into play to give all minions Charge.,NULL
Silverware Golem,NULL,NULL
Flames of Azzinoth,"Hero Power
Summon two 2/1 minions.",NULL
Raw Power!,Increased stats.,NULL
Forgotten Torch,Deal 3 damage. Shuffle a 'Roaring Torch' into your deck that deals 6 damage.,NULL
Might of Mukla,King Mukla has +8 Attack this turn.,NULL
Endless Enchantment,NULL,NULL
Cutpurse,"Whenever this minion attacks a hero, add the Coin to your hand.",NULL
Call in the Finishers,Summon four 1/1 Murlocs.,NULL
Medivh,NULL,NULL
Wailing Soul,Battlecry: Silence your other minions.,NULL
Frigid Snobold,Spell Damage +1,NULL
C'Thun's Chosen,"Divine Shield
Battlecry: Give your C'Thun
+2/+2 (wherever it is).",NULL
Equipped,+2 Attack.,NULL
Frost Breath,"Hero Power
Destroy all enemy minions that aren't Frozen.",NULL
Blessing of Wisdom,"Choose a minion. Whenever it attacks, draw a card.",NULL
Living Bomb,"Choose an enemy minion. If it lives until your next turn, deal 5 damage to all enemies.",NULL
Bone Construct,NULL,NULL
Wrath of Air Totem,Spell Damage +1,NULL
Darkbomb,Deal 3 damage.,NULL
Junked Up,Increased stats.,NULL
Well Equipped,NULL,NULL
Jade Golem,NULL,NULL
Murloc Tidecaller,"Whenever you summon a Murloc, gain +1 Attack.",MURLOC
Training,Increased Attack.,NULL
Drakonid Slayer,Also damages the minions next to whomever he attacks.,DRAGON
Nefarian,NULL,NULL
Poison Seeds,Destroy all minions and summon 2/2 Treants to replace them.,NULL
Poisoned Blade,Your Hero Power gives this weapon +1 Attack instead of replacing it.,NULL
Jay Baxter,Battlecry: Summon FIVE random Inventions.,NULL
Jade Behemoth,"Taunt
Battlecry: Summon a{1}
{0} Jade Golem.",NULL
Necroknight,Deathrattle: Destroy the minions next to this one as well.,NULL
OLDPvP Rogue,"Stealth
Regain Stealth when PvP Rogue kills a minion.",NULL
Ironforge Portal,"Gain 4 Armor.
Summon a random
4-Cost minion.",NULL
Leper Gnome,Deathrattle: Deal 2 damage to the enemy hero.,NULL
Warsong Commander,Your Charge minions have +1 Attack.,NULL
OLDN3wb Tank,Taunt,NULL
Burning Adrenaline,Deal 2 damage to the enemy hero.,NULL
-1 Durability,Give a player's weapon -1 Durability.,NULL
Eye In The Sky,Leokk is granting this minion +1 Attack.,NULL
Squid Oil Sheen,+2 Attack,NULL
Tentacle of N'Zoth,Deathrattle: Deal 1 damage to all minions.,NULL
Ice Rager,NULL,NULL
Beacon of Hope,NULL,NULL
Blessing of Might,Give a minion +3 Attack.,NULL
Mind Blast,Deal 5 damage to the enemy hero.,NULL
Eater of Secrets,Battlecry: Destroy all enemy Secrets. Gain +1/+1 for each.,NULL
Djinn’s Intuition,Draw a card. Gain a Mana Crystal. Give your opponent a Wish.,NULL
Dancing Swords,Deathrattle: Your opponent draws a card.,NULL
Fate: Bananas,"When a minion dies, its owner gets a (1) mana Banana.",NULL
Activate Electron,"Hero Power
Activate Electron!",NULL
Druid of the Flame,NULL,BEAST
Sinister Strike,Deal 3 damage to the enemy hero.,NULL
Commanding Shout,Your minions can't be reduced below 1 Health this turn.,NULL
Skycap'n Kragg,"Charrrrrge
Costs (1) less for each friendly Pirate.",PIRATE
Eviscerate,Deal 2 damage. Combo: Deal 4 damage instead.,NULL
Menagerie Warden,Battlecry: Choose a friendly Beast. Summon a copy of it.,NULL
Hell Bovine Champion,Deathrattle: Current turn player gains a random weapon.,DEMON
Doomhammer,"Windfury, Overload: (2)",NULL
Ceremony,NULL,NULL
Trogg Hate Minions!,"Passive Hero Power
 Enemy minions cost (2) more. Swap at the start of your turn.",NULL
Bloodhoof Brave,"Taunt
Enrage: +3 Attack.",NULL
Shield Block,"Gain 5 Armor.
Draw a card.",NULL
Fate 8 Get Armor,NULL,NULL
Skelesaurus Hex,NULL,NULL
The Silver Hand,"Hero Power
Summon two 1/1 Recruits.",NULL
Lost Tallstrider,NULL,BEAST
Demigod's Favor,NULL,NULL
Squire,NULL,NULL
Brave Archer,"Inspire: If your hand is empty, deal 2 damage to the enemy hero.",NULL
Mana Addict,"Whenever you cast a spell, gain +2 Attack this turn.",NULL
Obsidian Destroyer,"At the end of your turn, summon a 1/1 Scarab with Taunt.",NULL
Fireball,Deal 6 damage.,NULL
Fate,Deathrattle: random card in owner's hand costs (0).,NULL
Seething Statue,"At the end of your turn, deal 5 damage to all enemies.",NULL
Multi-Shot,Deal 3 damage to two random enemy minions.,NULL
Mimiron's Head,"At the start of your turn, if you have at least 3 Mechs, destroy them all and form V-07-TR-0N.",MECHANICAL
Weapon Nerf Enchant,Red Sparkles!,NULL
Atiesh,"After you cast a spell,
summon a random
minion of that Cost.
Lose 1 Durability.",NULL
Drakonid Operative,"Battlecry: If you're holding a
Dragon, Discover a card in
 your opponent's deck.",DRAGON
Onyxia,NULL,NULL
Demonic Presence,"Draw 3 cards.
Gain 10 Armor.",NULL
Jeweled Scarab,"Battlecry: Discover a
3-Cost card.",BEAST
Naga Corsair,Battlecry: Give your weapon +1 Attack.,PIRATE
Son of the Flame,Battlecry: Deal 6 damage.,NULL
Stablemaster,Battlecry: Give a friendly Beast Immune this turn.,NULL
Wolfrider,Charge,NULL
Wicked Knife,NULL,NULL
Unlicensed Apothecary,"Whenever you summon a minion, deal 5 damage to your Hero.",DEMON
Ancient Secrets,Restore 5 Health.,NULL
Grotesque Dragonhawk,Windfury,BEAST
Optimism,NULL,NULL
Tank Mode,+1 Health.,NULL
Ryan Masterson,"Battlecry: Cast copies of Backstab, Cold Blood, and Eviscerate. (targets chosen randomly).",NULL
Jade Golem,NULL,NULL
Panther Form,+1/+1 and Stealth,NULL
Prince Malchezaar,NULL,DEMON
Imperial Favor,Costs (1) less.,NULL
Worshipper,Your hero has +3 Attack on your turn.,NULL
Holy Nova,Deal 2 damage to all enemies. Restore #2 Health to all friendly characters.,NULL
Equipped,Increased Attack.,NULL
Shadow Word: Pain,Destroy a minion with 3 or less Attack.,NULL
Smuggler's Crate,Give a random Beast in your hand +2/+2.,NULL
Fate,Deathrattle: Your owner gets a coin.,NULL
Prioritize,Deal Attack damage to biggest minion.,NULL
Faerie Dragon,Can't be targeted by spells or Hero Powers.,DRAGON
Kabal Trafficker,"At the end of your turn,
add a random Demon
to your hand.",NULL
Mark of Nature,+4 Health and Taunt.,NULL
Skitter,"Hero Power
Summon a 4/4 Nerubian.",NULL
Destroy Played Cards,"Whenever a player summons a minion, destroy it.",NULL
Decimate,Health changed to 1.,NULL
Chicken,Hey Chicken!,BEAST
JC Park,Battlecry: Add a new platform for Hearthstone.,NULL
Jeering Crowd,"Hero Power
Summon a 1/1 Spectator with Taunt.",NULL
Finkle Einhorn,NULL,NULL
Hour of Twilight,Increased Health.,NULL
Big-Time Racketeer,Battlecry: Summon a 6/6 Ogre.,NULL
Mine Shaft,NULL,NULL
Smuggler's Run,Give all minions in your hand +1/+1.,NULL
Voidwalker,Taunt,DEMON
Healing Touch,Restore #8 Health.,NULL
Timber Wolf,Your other Beasts have +1 Attack.,BEAST
Second Class: Warrior,Add Warrior cards to your deck.,NULL
Jonas Laster,"Whenever a Silenced minion dies, gain +1/+1.",NULL
Pitcher,Battlecry: Give a minion +2/+2.,NULL
Brood Affliction: Bronze,"While this is in your hand, Chromaggus' minions cost (1) less.",NULL
Earthen Statue,NULL,NULL
Scarlet Purifier,Battlecry: Deal 2 damage to all minions with Deathrattle.,NULL
Raise Dead,"Passive Hero Power
Whenever an enemy dies, raise a 1/1 Skeleton.",NULL
Restore 1,Restore #1 Health to a character.,NULL
The Steel Sentinel,NULL,NULL
Cheap Gift,This card's cost is reduced.,NULL
Explosive Rune,"At the start of your turn, this explodes, dealing 9 damage to your hero.",NULL
Arathi Weaponsmith,Battlecry: Equip a 2/2 weapon.,NULL
Mark of Nature,This minion has +4 Health and Taunt.,NULL
Murloc Bonus,Summon a 1/1 Murloc at the end of your turn.,NULL
Break Weapon,Destroy a hero's weapon.,NULL
Imp Master,"At the end of your turn, deal
1 damage to this minion
 and summon a 1/1 Imp.",NULL
Druid of the Fang,NULL,BEAST
Brow Furrow,Increased stats.,NULL
Armor Plating,+1 Health.,NULL
Silver Hand Knight,Battlecry: Summon a 2/2 Squire.,NULL
Naturalize,"Destroy a minion.
Your opponent draws 2 cards.",NULL
Decimate,"Hero Power
Change the Health of enemy minions to 1.",NULL
Dagger Mastery,"Hero Power
Equip a 1/2 Dagger.",NULL
King of Beasts,Taunt. Battlecry: Gain +1 Attack for each other Beast you have.,BEAST
Druid of the Claw,Choose One - Charge; or +2 Health and Taunt.,NULL
Anubisath Sentinel,Deathrattle: Give a random friendly minion +3/+3.,NULL
Lorewalker Cho,NULL,NULL
Vilefin Inquisitor,Battlecry: Your Hero Power becomes 'Summon a   1/1 Murloc.',MURLOC
Eadric the Pure,"Battlecry: Change all enemy minions'
Attack to 1.",NULL
Chromatic Dragonkin,"Whenever your opponent casts a spell, gain +2/+2.",DRAGON
Tank Mode,+1 Health.,NULL
ME SMASH,"Hero Power
Destroy a random damaged enemy minion.",NULL
Become Hogger,Become Hogger for Video Recording.,NULL
Mike Donais,"Battlecry: Replace all minions in the battlefield, in both hands, and in both decks with random minions.",NULL
Dream,Return a minion to its owner's hand.,NULL
Jason Chayes,Enrage: Just kidding! He never Enrages.,NULL
Vanish,Return all minions to their owner's hand.,NULL
Ley Lines,"Passive Hero Power
Both players have
Spell Damage +5.",NULL
Deathlord,Taunt. Deathrattle: Your opponent puts a minion from their deck into the battlefield.,NULL
The Curator,"Taunt
Battlecry: Draw a Beast, Dragon, and Murloc from your deck.",MECHANICAL
Fight Promoter,"Battlecry: If you control
a minion with 6 or more
 Health, draw two cards.",NULL
Loves Annoy-o-tron,NULL,NULL
Brood Affliction: Black,"While this is in your hand, whenever Chromaggus draws a card, he gets another copy of it.",NULL
Keith Landes,"At the start of your turn, get -2 Health due to hunger.",NULL
Ravaging Ghoul,Battlecry: Deal 1 damage to all other minions.,NULL
Rock,Taunt,NULL
Armor 1,Give target Hero +1 Armor,NULL
Deadly Fork,Deathrattle: Add a 3/2 weapon to your hand.,NULL
Celestial Dreamer,"Battlecry: If a friendly minion has 5 or more Attack, gain +2/+2.",NULL
Windfury Harpy,Windfury,NULL
Blackwing,"Hero Power
Summon a 5/4 Dragonkin. Get a new Hero Power.",NULL
Shieldbearer,Taunt,NULL
Sun Raider Phaerix,NULL,NULL
Add 8 to Health.,Adds 8 health to a damaged character. Does NOT heal.,NULL
Razorgore the Untamed,NULL,NULL
Map to the Golden Monkey,Shuffle the Golden Monkey into your deck. Draw a card.,NULL
Malkorok,Battlecry: Equip a random weapon.,NULL
Gladiator's Longbow,Your hero is Immune while attacking.,NULL
Staff of Origination,Add a random legendary minion to your hand. It costs (4) less.,NULL
Razorgore,"At the start of your turn, give your minions +3 Attack.",DRAGON
Fate,Deathrattle: Your owner gets a banana.,NULL
The Tidal Hand,"Hero Power
Summon a 1/1 Silver Hand Murloc.",NULL
Omegawarper,Both player's Mechs cost (2) less.,MECHANICAL
Open the Gates,"Hero Power
Summon three 2/2 Whelps. Get a new Hero Power.",NULL
Beomki Hong,Taunt. Friendly minions can’t be Frozen.,NULL
Robin Fredericksen,"Battlecry: If you have no other Erics on the battlefield, rename this card to ""Eric"".",NULL
Dual Warglaives,NULL,NULL
True Form,"Hero Power
Let the games begin!",NULL
Gift of Cards,Each player draws a card.,NULL
Famished,Quite Hungry.,NULL
Clockwork Knight,Battlecry: Give a friendly Mech +1/+1.,MECHANICAL
Recharge,Fill all empty Mana Crystals.,NULL
Massive Runeblade,Deals double damage to heroes.,NULL
Vengeance,NULL,NULL
Onyxia,Battlecry: Summon 1/1 Whelps until your side of the battlefield is full.,DRAGON
Madness Potion,This minion has switched controllers this turn.,NULL
Worshipper,Your hero has +1 Attack on your turn.,NULL
Dispatch Kodo,Battlecry: Deal damage equal to this minion's Attack.,BEAST
Eaglehorn Bow,"Whenever a friendly
Secret is revealed,
gain +1 Durability.",NULL
Terrifying Roar,Return an enemy minion to your opponent's hand.,NULL
Lesser Heal,"Hero Power
Restore #2 Health.",NULL
Tournament Medic,Inspire: Restore 2 Health to your hero.,NULL
Mind Vision,Put a copy of a random card in your opponent's hand into your hand.,NULL
Arcane Golem,Battlecry: Give your opponent a Mana Crystal.,NULL
Heavy Axe,NULL,NULL
Doomguard,Charge. Battlecry: Discard two random cards.,DEMON
Shattered Sun Cleric,Battlecry: Give a friendly minion +1/+1.,NULL
Hunter's Mark,This minion has 1 Health.,NULL
Mindgames,"Put a copy of
a random minion from
your opponent's deck into the battlefield.",NULL
Main Tank,"Battlecry: Give all other minions +2/+2, except the Boss.",NULL
Needs Sharpening,Decreased Attack.,NULL
Heroic Strike,+4 Attack this turn.,NULL
Ethereal Arcanist,"If you control a Secret at the end of your turn, gain +2/+2.",NULL
Derek Sakamoto,The notorious Footclapper.,NULL
Romulo,Julianne is Immune.,NULL
Tuskarr Jouster,"Battlecry: Reveal a minion in each deck. If yours costs more, restore 7 Health to your hero.",NULL
Prince Malchezaar,NULL,NULL
Intrepid Dragonstalker,"Whenever ANY player plays a card, gain +1/+1.",NULL
Duplicate,"Secret: When a friendly minion dies, put 2 copies of it into your hand.",NULL
Meddling Fool!,Damage the Lorewalker,NULL
Silvermoon Guardian,Divine Shield,NULL
Secrets of Karazhan,+1/+1 and Taunt.,NULL
Empowered,+8 Attack this turn.,NULL
Redemption,"Secret: When one of your minions dies, return it to life with 1 Health.",NULL
Morgl the Oracle,NULL,NULL
Hell Bovine,Deathrattle: Place a copy of this card in your deck.,DEMON
Twilight Whelp,"Battlecry: If you're holding a Dragon, gain +2 Health.",DRAGON
Coldlight Seer,Battlecry: Give your other Murlocs +2 Health.,MURLOC
Harvest,"Hero Power
Draw a card. Gain a Mana Crystal.",NULL
Blood Imp,"  Stealth. At the end of your  
turn, give another random
 friendly minion +1 Health.",DEMON
Dark Wispers,+5/+5 and Taunt.,NULL
So Many...,"Whenever a Hell Bovine Dies, draw a card.",NULL
Draw 3 Cards,Draw 3 cards.,NULL
Sorcerer's Apprentice,Your spells cost (1) less.,NULL
Shadow Oil,Add 2 random Demons to your hand.,NULL
Blood Knight,Battlecry: All minions lose Divine Shield. Gain +3/+3 for each Shield lost.,NULL
Cowed,Can't attack this turn.,NULL
OLDLegit Healer,"At the end of your turn, summon a random friendly minion that died this turn.",NULL
Maloriak,NULL,NULL
Hallazeal the Ascended,"Whenever your spells deal damage, restore that much Health to your hero.",NULL
Mastiff,NULL,BEAST
Imp Gang Boss,"Whenever this minion takes damage, summon a 1/1 Imp.",DEMON
Doppelgangster,Battlecry: Summon 2 copies of this minion.,NULL
Sunwalker,"Taunt
Divine Shield",NULL
Shadow Tower Stealth,Stealth.,NULL
Overclock,Increased Attack.,NULL
Coldarra Drake,You can use your Hero Power any number of times.,DRAGON
Animate Earthen,Give your minions +3/+3 and Taunt.,NULL
Platemail Armor,"Passive Hero Power
Your Hero can only take 1 damage at a time.",NULL
Hand to Deck,Shuffle a player's hand into his deck.,NULL
Gadgetzan Socialite,Battlecry: Restore 2 Health.,NULL
Lantern of Power,Give a minion +10/+10.,NULL
Vassal's Subservience,NULL,NULL
Curse of Rafaam,"Give your opponent a 'Cursed!' card.
While they hold it, they take 2 damage on their turn.",NULL
Shadow Oil,Add a random Demon to your hand.,NULL
Ancestor's Call,Put a random minion from each player's hand into the battlefield.,NULL
Essence of the Red,"Hero Power
Each player draws 3 cards. Gain a Mana Crystal.",NULL
Kabal Lackey,"Battlecry: The next Secret
you play this turn costs (0).",NULL
Living Roots,Deal 2 damage.,NULL
Preparation,The next spell you cast this turn costs (3) less.,NULL
